label	genotype
V140	Genotype1
V42	Genotype1
V199	Genotype1
V67	Genotype1
V167	Genotype1
V61	Genotype1
V164	Genotype1
V9	Genotype1
V225	Genotype1
V89	Genotype1
V34	Genotype1
V129	Genotype1
V41	Genotype1
V157	Genotype1
V159	Genotype1
V130	Genotype1
V180	Genotype1
V59	Genotype1
V20	Genotype1
V219	Genotype1
V39	Genotype1
V133	Genotype1
V88	Genotype1
V10	Genotype1
V57	Genotype2
V32	Genotype2
V150	Genotype2
V111	Genotype2
V27	Genotype2
V62	Genotype2
V168	Genotype2
V221	Genotype2
V82	Genotype2
V45	Genotype2
V6	Genotype2
V58	Genotype2
V77	Genotype2
V212	Genotype2
V78	Genotype2
V1	Genotype2
V72	Genotype2
V220	Genotype2
V109	Genotype2
V64	Genotype2
V234	Genotype2
V123	Genotype2
V68	Genotype3
V181	Genotype3
V80	Genotype3
V35	Genotype3
V40	Genotype3
V187	Genotype3
V208	Genotype3
V185	Genotype3
V138	Genotype3
V232	Genotype3
V118	Genotype3
V75	Genotype3
V91	Genotype3
V206	Genotype3
V102	Genotype3
V216	Genotype3
V131	Genotype3
V141	Genotype3
V12	Genotype3
V126	Genotype3
V184	Genotype3
V107	Genotype3
V73	Genotype3
V143	Genotype3
V125	Genotype3
V144	Genotype3
V87	Genotype3
V194	Genotype3
V33	Genotype3
V145	Genotype3
V229	Genotype3
V182	Genotype4
V110	Genotype4
V183	Genotype4
V112	Genotype4
V116	Genotype4
V83	Genotype4
V60	Genotype4
V31	Genotype4
V201	Genotype4
V191	Genotype4
V18	Genotype4
V190	Genotype4
V76	Genotype4
V148	Genotype4
V227	Genotype4
V13	Genotype4
V195	Genotype4
V86	Genotype4
V124	Genotype4
V218	Genotype4
V5	Genotype4
V166	Genotype4
V203	Genotype5
V121	Genotype5
V21	Genotype5
V117	Genotype5
V48	Genotype5
V29	Genotype5
V188	Genotype5
V151	Genotype5
V56	Genotype5
V178	Genotype5
V146	Genotype5
V108	Genotype5
V169	Genotype5
V90	Genotype5
V69	Genotype5
V200	Genotype5
V207	Genotype5
V158	Genotype5
